"Test API Connection","Test API Connection"
"Test API with sample package (1lb, 6x4x2in from 10001 to 90210)","Test API with sample package (1lb, 6x4x2in from 10001 to 90210)"
"Test Connection","Test Connection"
"Test Rate Quote","Test Rate Quote"
"The 5-digit ZIP code associated with your USPS Permit account. Required for payment authorization when using PERMIT account type. Not needed for EPS or METER accounts.","The 5-digit ZIP code associated with your USPS Permit account. Required for payment authorization when using PERMIT account type. Not needed for EPS or METER accounts."
"The address could not be verified. You may continue with your original address.","The address could not be verified. You may continue with your original address."
"The address you entered could not be verified. You may continue with your original address or make corrections.","The address you entered could not be verified. You may continue with your original address or make corrections."
"The field is applicable if the Smart Post method is selected.","The field is applicable if the Smart Post method is selected."
"The response is in wrong format.","The response is in wrong format."
"There is no available method for selected shipping address.","There is no available method for selected shipping address."
"There is no items in this order","There is no items in this order"
"Third Party","Third Party"
"This field auto-populates when you select an environment above. You can manually edit it if you need to use a custom USPS API endpoint.","This field auto-populates when you select an environment above. You can manually edit it if you need to use a custom USPS API endpoint."
"Title","Title"
"To Lower","To Lower"
"To obtain your Client ID/Secret you have to:<br />- Register to <a href='https://developer.ups.com' target=_blank>https://developer.ups.com</a><br />- Go to My Apps -> Add Apps and fill all data<br />- Add Rating, Authorization, Shipping, TimeInTransit, Tracking products to the app","To obtain your Client ID/Secret you have to:<br />- Register to <a href='https://developer.ups.com' target=""_blank"" rel=""noopener noreferrer"">https://developer.ups.com</a><br />- Go to My Apps -&gt; Add Apps and fill all data<br />- Add Rating, Authorization, Shipping, TimeInTransit, Tracking products to the app"
"To Upper","To Upper"
"Tracking REST URL","Tracking REST URL"
"Tracking XML URL","Tracking XML URL"
"Unable to authenticate with USPS. Please check your API credentials.","Unable to authenticate with USPS. Please check your API credentials."
"Unable to retrieve shipping rates from USPS. Please try again or contact support.","Unable to retrieve shipping rates from USPS. Please try again or contact support."
"Unable to retrieve tracking","Unable to retrieve tracking"
"United Parcel Service REST","United Parcel Service REST"
"United Parcel Service XML","United Parcel Service XML"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
